k,x^k_1,x^k_2,d^k_1,d^k_2,||d^k||_2,alpha^k,f(x^k)
0,0.0,0.0,14.0,6.0,15.231546211727817,0.1677721600000001,20.0
1,2.348810240000001,1.0066329600000006,-13.514634240000014,-5.4085068800000045,14.556692114350298,0.1677721600000001,19.13227573128071
2,0.0814308619452393,0.09923607836753856,12.788747067077452,5.475804395483966,13.911739119293593,0.1677721600000001,18.339877705787046
3,2.227026581082489,1.0179236095353783,-12.341960248966405,-4.943953543400713,13.295362327758177,0.1677721600000001,17.616263390509097
4,0.15638925147925642,0.18846584461938642,11.68224410672989,4.997511304844202,12.706295550288086,0.1677721600000001,16.955458905531128
5,2.1163445789126016,1.026909110857517,-11.271082232556083,-4.51919653736544,12.143328704946482,0.1677721600000001,16.352009554701496
6,0.22537076721904437,0.268713746319196,10.671437342532773,4.56108943848543,11.605305330816,0.1677721600000001,15.800934664744647
7,2.0157408604804283,1.0339375733670841,-10.293158898272619,-4.130838588655882,11.091120211710686,0.1677721600000001,15.297686357031647
8,0.2888353588940098,0.34089786073693495,9.748054968112163,4.162862842950091,10.599717105213267,0.1677721600000001,14.838111909063041
9,1.9242875966929194,1.039310351682413,-9.400117373658844,-3.7757710901365034,10.130086572368148,0.1677721600000001,14.418419392678022
305,1.000001203010348,1.0000004901058637,-1.3990526934293257e-05,-5.792253119807356e-06,1.514216101166221e-05,0.1677721600000001,10.000000000009834
306,0.9999988557894247,0.9999995183270465,1.3368797567636648e-05,5.540188208641439e-06,1.447129689390751e-05,0.1677721600000001,10.000000000008981
307,1.0000010987014691,1.000000447816389,-1.277828024726091e-05,-5.290438654270702e-06,1.383015499667809e-05,0.1677721600000001,10.000000000008203
308,0.999998954861791,0.9999995602280687,1.2210469815698843e-05,5.06009669898333e-06,1.3217418496936326e-05,0.1677721600000001,10.000000000007493
309,1.0000010034386866,1.0000004091714216,-1.1671072552843498e-05,-4.832097589613227e-06,1.2631828911495073e-05,0.1677721600000001,10.000000000006846
310,0.9999990453576348,0.9999995984799717,1.115250376493293e-05,4.621609517307945e-06,1.2072183512410445e-05,0.1677721600000001,10.000000000006253
311,1.000000916437281,1.000000373857383,-1.0659802342161129e-05,-4.413463889463287e-06,1.153733285805434e-05,0.1677721600000001,10.00000000000571
312,0.9999991280192169,0.9999996334010133,1.0186203777351466e-05,4.221121105985048e-06,1.1026178430676773e-05,0.1677721600000001,10.000000000005215
313,1.0000008369806268,1.0000003415876189,-9.736156744821756e-06,-4.0310977453827945e-06,1.053767038735642e-05,0.1677721600000001,10.000000000004762
314,0.9999992035245796,0.999999665281643,9.303627631851441e-06,3.855338395197805e-06,1.0070805392501438e-05,0.1677721600000001,10.000000000004349
